
IS;10;21;30;
QS;10;26;87;
MS;10;22;68;

IS;20;100;122;
QS;20;61;135;
MS;20;64;176;

IS;30;255;288;
QS;30;126;360;
MS;30;111;296;

IS;40;506;547;
QS;40;179;402;
MS;40;165;432;

IS;50;758;811;
QS;50;258;507;
MS;50;216;572;

IS;60;999;1063;
QS;60;325;756;
MS;60;281;712;

IS;70;1372;1446;
QS;70;405;768;
MS;70;348;864;

IS;80;1699;1782;
QS;80;444;1077;
MS;80;412;1024;

IS;90;1955;2046;
QS;90;608;1053;
MS;90;479;1184;

IS;100;2810;2914;
QS;100;582;1308;
MS;100;542;1344;

IS;110;3343;3456;
QS;110;718;1467;
MS;110;598;1504;

IS;120;3564;3688;
QS;120;893;1404;
MS;120;675;1664;

IS;130;4436;4569;
QS;130;884;1809;
MS;130;756;1828;

IS;140;5060;5206;
QS;140;933;2154;
MS;140;822;2008;

IS;150;5335;5490;
QS;150;1091;2847;
MS;150;903;2188;

IS;160;6698;6864;
QS;160;1171;2556;
MS;160;969;2368;

IS;170;7146;7317;
QS;170;1447;3156;
MS;170;1056;2548;

IS;180;8164;8347;
QS;180;1725;3606;
MS;180;1128;2728;

IS;190;8675;8870;
QS;190;1399;3054;
MS;190;1209;2908;

IS;200;9971;10175;
QS;200;1674;3072;
MS;200;1272;3088;

IS;10;34;46;
QS;10;24;69;
MS;10;21;68;

IS;20;117;138;
QS;20;94;168;
MS;20;66;176;

IS;30;237;269;
QS;30;146;246;
MS;30;111;296;

IS;40;415;459;
QS;40;188;414;
MS;40;163;432;

IS;50;659;711;
QS;50;247;516;
MS;50;220;572;

IS;60;920;983;
QS;60;328;717;
MS;60;275;712;

IS;70;1088;1160;
QS;70;345;753;
MS;70;349;864;

IS;80;1640;1723;
QS;80;478;1065;
MS;80;411;1024;

IS;90;2021;2112;
QS;90;518;1182;
MS;90;467;1184;

IS;100;2639;2743;
QS;100;625;1425;
MS;100;536;1344;

IS;110;3281;3392;
QS;110;732;1404;
MS;110;610;1504;

IS;120;3968;4093;
QS;120;789;1773;
MS;120;682;1664;

IS;130;4494;4626;
QS;130;887;1833;
MS;130;745;1828;

IS;140;4866;5010;
QS;140;914;1908;
MS;140;825;2008;

IS;150;5634;5790;
QS;150;1160;2121;
MS;150;902;2188;

IS;160;6730;6891;
QS;160;1380;2502;
MS;160;981;2368;

IS;170;6946;7123;
QS;170;1264;2577;
MS;170;1034;2548;

