
IS;10;23;35;
QS;10;22;78;
MS;10;23;68;

IS;20;114;134;
QS;20;78;147;
MS;20;62;176;

IS;30;261;292;
QS;30;117;291;
MS;30;108;296;

IS;40;425;472;
QS;40;167;339;
MS;40;159;432;

IS;50;737;789;
QS;50;228;444;
MS;50;218;572;

IS;60;939;1004;
QS;60;332;807;
MS;60;280;712;

IS;70;1331;1402;
QS;70;483;834;
MS;70;339;864;

IS;80;1759;1843;
QS;80;579;1017;
MS;80;409;1024;

IS;90;1871;1962;
QS;90;618;1260;
MS;90;483;1184;

IS;100;2519;2624;
QS;100;636;1203;
MS;100;539;1344;

IS;110;3156;3272;
QS;110;738;1581;
MS;110;617;1504;

IS;120;3821;3945;
QS;120;729;1590;
MS;120;688;1664;

IS;130;4097;4229;
QS;130;880;1926;
MS;130;756;1828;

IS;140;4747;4889;
QS;140;1111;2184;
MS;140;830;2008;

IS;150;5314;5466;
QS;150;999;2007;
MS;150;909;2188;

IS;160;6485;6649;
QS;160;1151;2313;
MS;160;989;2368;

IS;170;7495;7667;
QS;170;1197;2646;
MS;170;1056;2548;

IS;180;8557;8741;
QS;180;1351;2475;
MS;180;1125;2728;

IS;190;9677;9873;
QS;190;1419;2595;
MS;190;1200;2908;

IS;200;10278;10480;
QS;200;1677;2826;
MS;200;1302;3088;

IS;10;18;28;
QS;10;30;105;
MS;10;21;68;

IS;20;114;134;
QS;20;61;174;
MS;20;66;176;

IS;30;238;271;
QS;30;116;318;
MS;30;115;296;

IS;40;498;541;
QS;40;210;537;
MS;40;163;432;

IS;50;529;581;
QS;50;262;537;
MS;50;224;572;

IS;60;840;904;
QS;60;343;729;
MS;60;283;712;

IS;70;1173;1244;
QS;70;474;729;
MS;70;354;864;

IS;80;1674;1758;
QS;80;505;897;
MS;80;418;1024;

IS;90;2417;2509;
QS;90;534;1167;
MS;90;471;1184;

IS;100;2624;2726;
QS;100;698;1320;
MS;100;547;1344;

IS;110;2919;3031;
QS;110;742;1518;
MS;110;618;1504;

IS;120;3866;3990;
QS;120;785;1518;
MS;120;677;1664;

IS;130;4024;4160;
QS;130;917;1623;
MS;130;749;1828;

IS;140;5293;5437;
QS;140;1142;2472;
MS;140;825;2008;

IS;150;5525;5681;
QS;150;1081;2388;
MS;150;906;2188;

IS;160;6725;6886;
QS;160;1183;2415;
MS;160;973;2368;

IS;170;7274;7448;
QS;170;1209;2229;
MS;170;1070;2548;

IS;180;8460;8646;
QS;180;1257;2769;
MS;180;1133;2728;

IS;190;9470;9669;
QS;190;1580;3024;
MS;190;1194;2908;

IS;200;9765;9969;
QS;200;1618;2586;
MS;200;1280;3088;

IS;10;39;52;
QS;10;25;66;
MS;10;22;68;

IS;20;89;108;
QS;20;88;213;
MS;20;63;176;

IS;30;259;290;
QS;30;126;261;
MS;30;109;296;

IS;40;400;440;
QS;40;190;396;
MS;40;162;432;

IS;50;682;732;
QS;50;240;453;
MS;50;232;572;

IS;60;889;950;
QS;60;334;564;
MS;60;279;712;

IS;70;1225;1298;
QS;70;417;954;
MS;70;345;864;

IS;80;1778;1864;
QS;80;508;1212;
MS;80;409;1024;

IS;90;1994;2088;
QS;90;521;1143;
MS;90;476;1184;

IS;100;2501;2606;
QS;100;623;1389;
MS;100;548;1344;

