
QS;8;23;88;
DQS;8;15;48;

QS;8;23;60;
DQS;8;28;32;

QS;8;16;84;
DQS;8;28;44;

QS;16;50;224;
DQS;16;48;139;

QS;16;46;128;
DQS;16;100;57;

QS;16;48;184;
DQS;16;75;111;

QS;24;102;340;
DQS;24;85;186;

QS;24;74;256;
DQS;24;252;89;

QS;24;83;256;
DQS;24;266;133;

QS;32;170;496;
DQS;32;151;232;

QS;32;143;380;
DQS;32;489;123;

QS;32;124;388;
DQS;32;304;420;

QS;8;16;84;
DQS;8;18;43;

QS;8;16;72;
DQS;8;27;27;

QS;8;19;88;
DQS;8;27;36;

QS;16;46;200;
DQS;16;54;97;

QS;16;66;104;
DQS;16;113;59;

QS;16;45;188;
DQS;16;119;80;

QS;24;102;236;
DQS;24;80;181;

QS;24;107;380;
DQS;24;273;94;

QS;24;94;268;
DQS;24;249;158;

QS;32;150;388;
DQS;32;119;254;

QS;32;126;416;
DQS;32;434;121;

QS;32;122;364;
DQS;32;321;462;

QS;100;618;1520;
DQS;100;636;932;

QS;200;1528;4396;
DQS;200;1473;2955;

QS;300;2481;6852;
DQS;300;2439;3861;

QS;400;3484;9300;
DQS;400;3732;5195;

QS;500;4840;11920;
DQS;500;4959;6756;

QS;600;5755;14136;
DQS;600;5841;7786;

QS;700;7220;18312;
DQS;700;6675;9747;

QS;800;8731;18272;
DQS;800;7811;11221;

QS;900;9185;22856;
DQS;900;9157;12969;

QS;1000;10904;23892;
DQS;1000;10181;14338;

QS;1100;11866;30364;
DQS;1100;11586;16175;

QS;1200;14590;39364;
DQS;1200;12994;18896;

QS;1300;15370;39728;
DQS;1300;14929;19150;

QS;1400;15455;37112;
DQS;1400;15185;18406;

QS;1500;16882;41264;
DQS;1500;17403;27659;

QS;1600;19404;49048;
DQS;1600;19106;30540;

QS;1700;18673;43216;
DQS;1700;19195;25127;

QS;1800;21256;55840;
DQS;1800;21287;28868;

QS;1900;21752;50532;
DQS;1900;22020;28648;

QS;2000;23568;57104;
DQS;2000;22880;30787;

QS;100;639;1824;
DQS;100;692;1400;

QS;200;1708;4908;
DQS;200;1543;2575;

QS;300;2611;6684;
DQS;300;2372;3591;

QS;400;3571;9300;
DQS;400;3486;5212;

QS;500;5131;15152;
DQS;500;4792;7031;

QS;600;5479;13080;
DQS;600;6164;7105;

QS;700;7154;17820;
DQS;700;6961;9676;

QS;800;8135;17048;
DQS;800;8952;12206;

QS;900;10944;25860;
DQS;900;9689;13372;

QS;1000;10822;23872;
DQS;1000;10677;17552;

QS;1100;12080;31092;
DQS;1100;11617;17553;

QS;1200;13850;36024;
DQS;1200;12730;18662;

QS;1300;13851;33236;
DQS;1300;14403;23084;

QS;1400;16681;43568;
DQS;1400;15441;22437;

QS;1500;16976;40708;
DQS;1500;17154;21616;

QS;1600;18010;45268;
DQS;1600;18042;25048;

QS;1700;19240;45284;
DQS;1700;19136;26582;

QS;1800;20354;50904;
DQS;1800;20760;30337;

QS;1900;23322;58772;
DQS;1900;22275;32034;

QS;2000;25792;60368;
DQS;2000;26245;29126;

QS;100;566;1664;
DQS;100;666;827;

QS;200;1540;3600;
DQS;200;1598;2226;

QS;300;2407;6000;
